headline,clickbait
سلطات البيضاء تضع نهاية للفيلا المخيفة  دعارة و سيلسيون ,0
بعد تدخل الملك  مغاربة يستفيدون من أثمنة مخفضة في تذاكر  لارام ,1
باحث أمريكي يتحدث عن إضفاء الطابع الأوروبي على الأزمة الإسبانية المغربية!,1
الصحة العالمية تكشف عن معطيات الحالة الوبائية عالميا!,1
بعد استثناء إسبانيا  المغرب يستعين بموانىء البرتغال,1
رئيس حكومة إسبانيا يكشف عن مضامين اللقاء العابر مع بايدن!,0
مرحبا   إضافة خطوط بحرية جديدة لتعزيز عودة مغاربة الخارج,1
أزمة الرباط وبرلين  هل سحبت شركة ألمانية سفنها العاملة بالمغرب؟,0
دراسة بريطانية  جرعتان من  فايزر  و أسترازينيكا  تقهران المتحور دلتا,1
ما مصير تذاكر  لارام  المقتناة قبل صدور التعليمات الملكية؟ عدو يجيب!,0
أزمة الرباط ومدريد  هل بعث بايدن رسالة إلى المغرب ؟,0
المغرب يقرر إعمار منطقة  المحبس  بالصحراء,1
 شركة طيران عالمية تعود إلى الأجواء المغربية,1
ذهب ليمنحه أجرته فوجده جمجمة وساقين   مستجدات العثور على عظام بشرية ضواحي برشيد,1
هنغاريا تنشر رسميا إعلانا مشتركا مع المغرب تدعم فيه مقترح الحكم الذاتي بالصحراء,1
 سيناريوهات لمستقبل العلاقات بين المغرب واسبانيا,0
كريستيان إريكسن  لماذا يتوقف قلب بعض الرياضيين فجأة؟,0
الحكومة الإسرائيلية الجديدة  بين الترحيب الدولي والتحفظ الفلسطيني,1
اللجنة المشتركة بين المغرب والاتحاد الأوربي ترد على قرار البرلمان الأوربي,1
مكتب التكوين المهني وإنعاش الشغل يوقع اتفاقية برنامج تدريبي بالفنادق,1
مشعل معزيا زوجة نزار بنات  لنا الفخر بشجاعته  شاهد),0
المشري  لا توجد ضمانات دولية لفرض نتائج الانتخابات المقبلة,1
ما فرص انعقاد قمة ثلاثية عربية ببغداد بعد تأجيلها مرتين؟,0
قتلى بهجوم بإقليم تيغراي   وواشنطن تدعو لوقف إطلاق النار,1
جدل واسع بعد تصريحات مبعوث أمريكا بشأن شرعنة  الحوثي ,0
هل تستعد بكين لاستخدام قنبلة ذرية في الصراعات الإقليمية؟,0
قيادي بفتح  جريمة اغتيال نزار بنات مدانة والجميع صدم بها,0
متحدث إيراني يتحدث عن شرط للتراجع عن الخطوات النووية,0
سان جيرمان يتعاقد مع الشقيق الأصغر لمبابي,1
بايدن يلتقي الرئيس الأفغاني ويؤكد تواصل الشراكة,1
مطالبات للسعودية بالكشف عن مصير أميرين والإفراج عنهما,1
بلينكن  معتقل غوانتانامو سيغلق   متى؟,0
جدل فكري في الجزائر حول سيرة الأمير عبد القادر الجزائري,1
أرسنال يجدد عقد مدافعه الاسكتلندي تييرني,1
واشنطن قلقة من عدم وجود اتفاق مؤقت لمراقبة نشاط إيران النووي,1
 قتلى و مصابين في هجوم بسكين في ألمانيا  شاهد),0
صحيفة  بينيت يلمح لدور إسرائيل بهجوم على موقع نووي إيراني,1
خامنئي يتلقى لقاحا لكورونا صنع بالكامل في إيران  شاهد),0
الحكومة التونسية تعلن إصابة رئيسها المشيشي بكورونا,1
كاتب لبناني لـ  عربي   عرفنا الاحتلال الإسرائيلي مبكرا,1
 رئيسي  يوضح لأمير قطر  عقيدة  السياسة الإقليمية لإيران,1
الاحتلال يقمع وقفة مع الشيخ جراح   ويعتدي على متضامن  شاهد),0
مصر تعتقل  نائب الجن والعفاريت  متلبسا بتهريب الآثار,1
إجراء يخص المسلمين بعد حادثة بوغبا مع زجاجة خمر في  اليورو ,1
رسالة إلى البرلمان الفرنسي للتدخل لوقف الإعدامات في مصر,1
أوروبا تتبرأ من دعم أجهزة أمن السلطة الفلسطينية   وردود,1
 قتلى وعشرات المفقودين بانهيار مبنى في ميامي  شاهد),0
الرضيعة في وداع والدها  ,1
إيكونوميست  ضحايا تفجيرات فرنسا النووية بالجزائر بانتظار التعويض,1
صورة رونالدو ومبابي بـ يورو  تشعل مواقع التواصل الاجتماعي,0
إصابات في مواجهات متفرقة مع الاحتلال بالضفة,1
فضيحة تهز بريطانيا   تسريب صور خادشة لوزير الصحة مع مساعدته,0
تركيا ترفض مخرجات قمة الاتحاد الأوروبي في بروكسل,1
هآرتس  الهجوم الغامض بطهران لن يوقف نووي إيران ولا الاتفاق,1
أزمة الوقود في لبنان تهدد المخابز بالتوقف عن العمل,1
بيع لوحة رسمها تشرشل بـ  مليون دولار في مزاد علني,1
رسالة من  نائبا ديمقراطيا لبايدن عن صفقة القرن والاستيطان,1
البابا فرانسيس يلتقي  سبايدرمان  في الفاتيكان,1
ندوة لـ إيجيبت ووتش  عن   سنوات على حكم السيسي ,1
التحالف الدولي يرفض الانخراط بمحاكمة معتقلي  داعش  بسوريا,1
العلماء يدرسون مدى فعالية مزج اللقاحات لمواجهة كورونا,1
هل يحرك لقاء سعيد والغنوشي  الحل  وينهي القطيعة؟,0
موقع  بايدن سيتراجع عن الاعتراف بسيادة إسرائيل على الجولان,1
موسكو تعلن نقل أحدث طراز طائرة مقاتلة روسية إلى سوريا,1
القضاء اللبناني يسمح لعميل إسرائيلي بمغادرة البلاد   وتنديد,1
غني في واشنطن   وتقديرات بسيطرة طالبان بعد انسحاب أمريكا,1
لماذا لم يصنف  برلين  حفتر كأبرز المعرقلين للمسار السياسي؟,0
استمرار الهجمات الغامضة بكركوك واستهداف أبراج الطاقة فيها,1
قيود جديدة بسبب كورونا رغم التقدم في اللقاحات عالميا,1
اعتقال شاب من جنين   وأسرى لدى الاحتلال يواصلون إضرابهم,1
واشنطن   خلافات جدية  بمحادثات فيينا   وتقدم مع موسكو,1
تشكيل لجنة  ديمقراطية  للتحقيق بأحداث  الكابيتول ,1
الحوثي تعلن قتل ضباط سعوديين بحضرموت   لا تعليق سعودي,1
إعلان موعد جولة محادثات  أستانا  حول سوريا   هذا ما تبحثه,0
الإعلان عن موعد بدء مشاورات تشكيل حكومة جديدة بالجزائر,1
موسكو تهدد لندن بقصف سفنها إذا انتهكت مياه القرم مجددا,1
الآلاف يشيعون نزار بنات   وهتافات ضد عباس والسلطة  شاهد),0
تونس وليبيا تتفقان على إنشاء منطقتين صناعيتين مشتركتين,1
أمريكا ستبقي على  جنديا بعد سحب قواتها من أفغانستان,1
السعودية تعلن اعتراض طائرة حوثية مفخخة تجاه خميس مشيط,1
السلطات السودانية تضبط هواتف نقالة مع البشير داخل معتقله,1
فلسطين تتأهل لكأس العرب   وتواجه المغرب بالجولة الأولى,1
الاتحاد الأوروبي يفشل في الاتفاق على عقد قمة مع بوتين,1
التايمز  طالبان ضمنت النصر وبدأت بالتحاور مع المجتمع الدولي,1
بماذا ستصطدم زيارة مدير المخابرات المصرية لواشنطن؟,0
وزير خارجية المغرب يلتقي عقيلة صالح ويتحدث عن الانتخابات,1
أمريكية تعثر على رسالة عمرها  عاما وتتواصل مع ابنة كاتبها,1
كيف ستؤثر انتخابات إيران الرئاسية على مصير الصفقة النووية؟,0
حديث عن وقف طباعة إصدارات صحيفة حكومية مصرية,1
إصابات بمواجهات مع الاحتلال   وإرباك ليلي في  بيتا   شاهد),0
اتفاقية بين الجيشين السوداني والمصري بعد مباحثات بالخرطوم,1
الغارديان  عائلات ضحايا   سبتمبر  تضغط للكشف عن دور سعودي,1
احتجاجات وقطع طرق في لبنان تنديدا بالوضع الاقتصادي,1
تحذير أممي من تصعيد  مدمر  بغزة والاحتلال يوسع مساحة الصيد,1
محمد ناصر يعد جمهوره   لن أقول وداعا بل إلى اللقاء   شاهد),0
  هل فرض عقوبات على  النخبة الفاسدة  سيوقف انهيار لبنان؟,0
  محسوبية بالضفة   وظائف جاهزة لأقارب مسؤولي السلطة,1
مظاهرات ومواجهات تنديدا بمقتل  بنات  ودعوات لحل السلطة,1
 سي أن أن   كوشنر وإيفانكا قرّرا الابتعاد عن ترامب,1
تراجع معظم بورصات الخليج مع هبوط أسعار النفط,1
الطب الشرعي يؤكد تعرض  بنات  للاعتداء وجثمانه يُسلم لذويه,1
العثور على مبتكر برنامج مكافحة الفيروسات  مكافي  ميتا بسجنه,1
السجن  عاما لمتعاقدة مع البنتاغون تعاونت مع حزب الله,1
 الإرباك الليلي  إبداع ينتقل من غزة للضفة   هذه أدواته,1
لقاء ثنائي بين  سعيد  و الغنوشي  بعد أشهر طويلة من الخلاف,1
خامنئي سيتلقى الجرعة الأولى من اللقاح الإيراني ضد كورونا,1
التايمز  هل تندلع الحرب في البحر الأسود؟,0
 نهب متواصل    هكذا تغتني مليشيات ولائية في نينوى العراقية,0
صحيفة لبنانية  عباس كامل يد السيسي بالمخابرات والخارجية,1
دعوة أمريكية وأممية لتحقيق  شفاف  في مقتل الناشط نزار بنات,1
مؤتمر  برلين   يثير جدلا في ليبيا   هكذا علق النشطاء,0
من هو نزار بنات الذي قتلته أجهزة أمن السلطة بالضفة؟,0
 يويفا  يقرر إلغاء أحد أهم القوانين في كرة القدم,0
إسبانية تروي قصة مقتل زوجها المسلم المغربي بجريمة عنصرية,1
هندوراس تدشن مقر سفارتها في القدس المحتلة   وإدانات,1
ساسة أمريكيون يطلقون حملة ضد أردوغان   من وراءها؟,0
علم العقيدة   جدل عقيم أم سبيل لليقين؟,0
هل يمثل تحرك حفتر نحو الحدود الغربية تهديدا للجزائر؟,0
دور ثُمن اليورو يفرز مواجهات حارقة   تعرف على البرنامج الكامل,0
الحكومة الجزائرية تقدم استقالتها تمهيدا لأخرى جديدة,1
بوليتيكو  نقاش حول سياسة أمريكا الخارجية وخطاب إلهان عمر,1
كاتب إسرائيلي  فلسطينيو  أعلنوا رفض نموذج  جيب الأقلية ,1
اعتقال قس يوناني أحرق  قساوسة أثناء جلسة تأديب,1
أمن السلطة يواصل قمع الاحتجاجات ضد مقتل نزار بنات  شاهد),0
هذه القيمة السوقية لمنتخبات ولاعبي يورو   إنفوغراف),0
شقيق آلاء الصديق يعلق على وفاتها في مقطع مؤثر  شاهد),0
تداعيات كارثية لتلوث الهواء في مصر   كم تكلف؟,0
ما مصير السياسي المصري  النجار  بعد ألف يوم على اختفائه؟,0
الاحتلال يفرض قيودا شديدة على الشيخ كمال الخطيب,1
هل يحسم السيسي موقفه بالتخلي عن حفتر؟,0
الاحتلال يبلغ أمريكا باحتمال عودة المواجهة قريبا في غزة,1
اعتقالات تطال أسرى محررين   وجلسة أممية عن الاستيطان,1
التايمز  الرئيس الإيراني الجديد كان يراقب تعذيب المعارضين,1
 تقارب  بين أمريكا وروسيا حول الملف السوري   ما حقيقته؟,0
برلماني بريطاني  الصمت بشأن إعدامات مصر قد يوحي بالتواطؤ,1
هل أصبحت ثقافة تبادل الأسرى جزءا من هوية الفلسطينيين؟,0
 تعرية ووحشية وإخفاء جثة    عائلة بنات تروي لعربي ما حصل,0
هكذا علق نزار بنات على  اغتيال معارضي السلطة  قبل مقتله,0
تقرير  ملايين الأشخاص أصبحوا من أصحاب الملايين خلال كورونا,0
لندن تحظر الترويج لجهاز  ينقي الهواء من كورونا ,1
تنديد فلسطيني بمقتل نزار بنات   ونشطاء   خاشقجي فلسطين ,1
الهند تصنّف  دلتا بلس  متغيرا مثيرا للقلق لفيروس كورونا,1
هل سيندم بايدن لسحب أنظمة الدفاع من السعودية والعراق؟,0
 معركة الجبل  مستمرة   ودعوات لأكبر حشد في  بيتا  الخميس,1
شركة أمريكية ثانية تتجاوز قيمتها السوقية سقف التريليوني دولار,0
مباحثات ليبية ألمانية لنتائج مؤتمر  برلين ,1
 تويتر  تتيح لنجومها بأمريكا توفير محتويات مدفوعة لمتابعيهم,1
مقتل الناشط نزار بنات بعد اعتقاله من أمن السلطة وضربه,1
أمريكا تعلق على إعلان إيران الاتفاق على رفع  عقوبة,1
دعوة إسرائيلية لتحالف عسكري مع السعودية والإمارات والبحرين,1
البرازيل تحقق فوزا قاتلا أمام كولومبيا في الأنفاس الأخيرة,1
تقييم فرضية وجود علاقة بين التهاب القلب ولقاحات كورونا,1
ما استراتيجية السعودية من وراء سباق جائزة  الفورمولا ؟,0
رعب المستوطنين من أصوات المفرقعات بـ الشيخ جراح   شاهد),0
هل تحسم مخرجات برلين الأزمة في ليبيا وتعاقب حفتر؟,0
هربا من اللقاح   موظفون بموسكو يشترون شهادات تطعيم مزورة,1
صحفي إسرائيلي  ضغوط تهدد اتفاق وقف إطلاق النار في غزة,1
الشرطة البريطانية تصدر تقريرا أوليا حول وفاة آلاء الصديق,1
الإرباك الليلي  ,0
نائب أردني سابق يوجه رسائل لـ زعماء لوقف الإعدامات بمصر,1
قمة فرنسا والبرتغال تنتهي بالتعادل   وتألق بنزيمة ورونالدو,1
مستشفى أمريكي يفصل طبيبة فلسطينية انتقدت جرائم الاحتلال,1
إسبانيا تكتسح سلوفاكيا وتبلغ ثمن نهائي اليورو,1
المتحورة دلتا ستشكل   من الإصابات بالاتحاد الأوروبي,1
عربي تنشر أسماء إعلاميين مصريين طلبت تركيا وقف برامجهم,0
تونس تنفي مشاركتها بمناورة بحرية للأطلسي تضم الاحتلال,1
السودان ينفي وجود خلافات بين الجيش وقوات الدعم السريع,1
حقوقي مغربي يقاضي رئيس حكومة بلاده لعدم التزامه بالكمامة,1
بريطانيا تستكمل تحقيق فضيحة  الدم الفاسد    ما قصتها؟,0
اختتام مؤتمر  برلين    وتوافق على خروج المرتزقة من ليبيا,1
تفاصيل اعتقال مسؤولين في  قضايا فساد بالسعودية,0
  تعرف على أصول الجولاني زعيم هيئة تحرير الشام,0
الاحتلال يصادق على  مخططا استيطانيا بالضفة الغربية,1
لهذا السبب رفض بوفون اللعب في صفوف برشلونة,0
استطلاع  تراجع القلق من كورونا   والعالم يسير بالاتجاه الخطأ,1
الاحتلال يرضخ لإضراب الأسير عدنان ويفرج عنه الاثنين القادم,1
بايدن يتعهد برفع رواتب رجال الإطفاء   كم يتقاضون بالساعة؟,0
المقاومة لعربي  نرفض تسليم المنحة القطرية للأمم المتحدة,1
بيان للشيخة لطيفة بعد أيام على نشرها صورة من أوروبا,1
مستوطنون يغلقون شارعا رئيسيا ببيت لحم بالضفة  شاهد),0
القضاء اللبناني يخلي سبيل صغار الموظفين بقضية انفجار المرفأ,1
أنقرة تطلب من إعلاميين مصريين وقف برامجهم من تركيا,1
 نداء السودان  يجمد عضويته   وتصدع بـ الحرية والتغيير ,1
مصر تعين سفيرا لها لدى الدوحة بعد زيارات عالية المستوى,1
فيورنتينا يتعاقد مع النجم الأرجنتيني غونزاليس,1
الأمن العراقي يفض اعتصام  المرأة الواحدة  بكربلاء  شاهد),0
حصري    عربي  تكشف عن أموال سرية للجيش المصري,1
بريطانيا تسمح بحضور  ألف متفرج بنهائي كأس أوروبا,1
علماء يكتشفون نشاطا على كوكب  الزهرة  يشبه سطح الأرض,1
تسجيل جديد لـ داعش    هاجم حماس وعلق على مقتل شيكاو,1
مقررة أممية تدعو للتحقيق بتعذيب سلطات البحرين لمعتقلين,1
إصابة عناصر شرطة بكركوك   وهجمات على أبراج الطاقة بالعراق,1
 تقديرات استخباراتية إسرائيلية لتوجهات إيران المستقبلية,0
ريال مدريد يزف خبرا سارا لجمهوره   صفقة مدوية قريبة,0
خبير  تركيا تستطيع المساعدة باستقرار أفغانستان لهذه الأسباب,0
مقتل العشرات في غارة جوية على سوق بإقليم تيغراي,1
ساعات عمل سكان دمشق الأعلى عالميا ونصفهم فقراء,1
أنباء عن توبيخ الإدارة الأمريكية لـ قسد  في سوريا   لماذا؟,0
 تطبيع طبي  بين الإمارات والاحتلال الإسرائيلي   تفاصيل,0
هذا مركز بيروت بين مدن العالم الأكثر غلاء للعمال الأجانب,0
صديق سعودي للأمير حمزة يتحدث عن  الفتنة  و الوصاية ,1
  هذا ما يجب على مدير مخابرات مصر إخبار الكونغرس به,0
تركيا توقف  شخصا في عملية أمنية ضد تنظيم الدولة,1
مذكرات توقيف بحق متظاهرين عراقيين في ذي قار,1
مصادر لـ عربي   وفد مصري في أنقرة قريبا لاستكمال الحوار,1
ندوة سياسية تناقش الإعدامات الجماعية بمصر  شاهد),1
هل تؤثر القيادات الجديدة بإيران وإسرائيل على العلاقات مع تركيا؟,0
إيران  أحبطنا محاولة تخريبية استهدفت مبنى لـ الطاقة الذرية ,1
ما حقيقة شائعة إهداء أمير قطر أغلى طائرة بالعالم لرئيسي؟,0
ما حقيقة تسرّب بعوض ملقح بالفياغرا من مختبر ووهان؟,0
مصر تعدم  من المساجين الجنائيين في سجن برج العرب,1
 رئيسي  يلقي خطاب الفوز في مدينة مشهد الإيرانية,1
ما أسباب فوز باشينيان بالانتخابات رغم خسارة قره باغ؟,0
 قفص السكر  يفوز بجائزة مهرجان الإسماعيلية للأفلام,1
  الزعماء الشعبويون في أوروبا الشرقية يفقدون شعبيتهم,1
دعوات لنشر الإرباك الليلي بالضفة   واعتقالات وتوتر بالقدس,1
 معاريف   تفاصيل مشروع مع الجيش الأردني لحماية الحدود,0
خبراء  تزايد احتمال خوض جولة قتال أخرى مع حماس,1
 رايتس ووتش   الإمارات تخفي باكستانيين بشكل قسري,1
شرطة الاحتلال تتجهز لتصعيد ضد الفلسطينيين بالداخل المحتل,1
انطلاق مؤتمر  برلين   حول ليبيا   هذا ما يبحثه,1
مساع لتوحيد حزبي داود أوغلو وباباجان   بوادر تحالف ثالث؟,0
  أربعة من فريق اغتيال خاشقجي تلقوا تدريبا بأمريكا,0
قلق إسرائيلي من تصاعد  الانتفاضة الصامتة  بالضفة الغربية,1
انتقاد قاسي لكوهين بسبب كشفه عن عمليات الموساد السرية,1
جماعة الحوثي تمنع عملة نقدية جديدة طبعتها الحكومة,1
انتقادات لرئيس وزراء باكستان بعد حديثه عن ملابس النساء,1
بهدفه الساحر   مودريتش يحقق رقما متميزا مع كرواتيا باليورو,1
بوليتكو  الرئيس الإيراني الجديد يشكل معضلة أمام بايدن,1
إيداع الرئيس الموريتاني السابق محمد ولد عبد العزيز السجن,1
تدخل غير معتاد  الفاتيكان يعترض على قانون إيطالي للمثلية,1
البحرين تؤكد توجيه دعوتين رسميتين لعقد مباحثات مع قطر,1
توتر بين قبيلة يمنية ومليشيات مدعومة من الإمارات,1
الاحتلال يخطر  فلسطينيا بهدم منازلهم بالضفة الغربية,1
اعتداءات للمستوطنين في الشيخ جراح   ومواجهات عنيفة  شاهد),0
موريتانيا تعمق جراح اليمن وتبلغ نهائيات كأس العرب  شاهد),1
 المركزي الأمريكي   الخوف من التضخم لن يدفعنا لرفع الفائدة,1
دراسة  تناول القهوة يقلل خطر الوفاة بمرض الكبد المزمن,1
الجوع يفتك بالمعتقلين في سجون النظام السوري,1
أمريكا  تستولي  على مواقع إيرانية ويمنية وفلسطينية وتغلقها,1
 قتلى في إطلاق نار في ولاية ميزوري الأمريكية,1
إيمان البحر درويش يواصل انتقاد النظام   ويتحدث عن  تمرد ,1
فلسطينيو  بيتا  يبدأون  الإرباك الليلي  ضد بؤرة استيطانية,1
حمدوك يدعو لجيش موحد بالسودان بعد توتر مع  الدعم السريع ,1
رسميا   إنتر يتعاقد مع الدولي التركي تشالهان أوغلو,1
الجيش اليمني يعلن مقتل عشرات الحوثيين بمأرب,1
لبنان يرفع سعر الخبز المدعم للمرة الخامسة في  أشهر,1
أردوغان يكشف اسم اللقاح التركي   دخل مرحلة التجارب البشرية,1
يوتيوب تربح نزاعا قضائيا حول انتهاك حقوق النشر,1
منح مهلة أخيرة لرونالدو لتحديد مستقبله مع يوفنتوس,1
ليبيا    الرئاسي  يستنكر دعوة إيطاليا لحوار وطني على أراضيها,1
قطر  نخطط لتجنب الحصول على قروض في ,1
باحث أمريكي  هذه  مأساة  إسرائيل في حروبها بغزة,0
دبي توافق على إفلاس  أرابتك    وإلغاء أسهم كبرى يهز البورصة,1
قيادي سابق بالنهضة يطرح مبادرة للحوار بين سعيد والغنوشي,1
مسؤول سابق  هكذا تصرف الأمريكيون بعد تفجيرات الخُبَر,0
 تيسلا  و تيك توك  بين أسرع الشركات نموا في ,1
إعلاميو نظام السيسي يواصلون الهجوم على تركيا,1
تقرير  تلاميذ البِيض الفقراء ببريطانيا أقل حظا من الأقليات,1
 دفاع البشير  يطلب نقله للمشفى لاحتمال إصابته بكورونا,1
ناد إيطالي يتقدم بعرض رسمي لسيرخيو راموس,1
اعتصام لأهالي المعتقلين الأردنيين بالسعودية أمام  الخارجية ,1
كوبا تعلن فاعلية عالية للقاحها  عبدالله ,1
إعادة كتابة التاريخ الفلسطيني ضرورية لدحض سردية الاحتلال,1
عضو كنيست يقتحم الشيخ جراح   ودعوات لمساندة الأهالي,1
دبلوماسي إسرائيلي يستعرض فوارق إدارتي بايدن وترامب,1
المشيشي  لن أستقيل من رئاسة الحكومة التونسية  شاهد),0
جماهير الترجي تقتحم تدريبات الفريق وتعتدي على بعض اللاعبين,1
 رايتس ووتش  تحذر من مخاطر تشكيل قوة مشتركة بالسودان,1
فوضى واشتباكات بجلسة في برلمان الكويت تخصّ الميزانية  شاهد),0
مقتل امرأة في مصر خلال جلسة لـ طرد الجن ,1
مسؤول ليبي لـ عربي   هذه آخر تطورات فتح الطريق الساحلي,0
وزير برتغالي سابق  الإسلام جزء من أوروبا   والعنصرية مقلقة,1
يوسف القطب   سيرة مصور وثّق للهوية والثورة في فلسطين,1
حملة صينية ضد  بتكوين  تؤثر على العملة الرقمية,1
وفد أمني إسرائيلي في شرم الشيخ   هذا ما سيقوم به,0
طهران  تشغيل مراحل جديدة من محطة بوشهر النووية في ,1
سفير الإمارات لدى الاحتلال يزور الكنيست ويلتقي لابيد,1
جلسة ثانية لمحاكمة عوض الله بالأردن   شاهدان من السودان,1
خبراء  أجهزة استنشاق مرضى الربو تسرّع التعافي من كورونا,1
ما قصة بئر برهوت أو  قعر جهنم  كما يسميها اليمنيون؟,0
عشرات الجرحى في حادث تصادم قطار بالإسكندرية  شاهد),0
فرنسا تحقّق في بيع برامج للتجسس على المعارضة لمصر وليبيا,1
أسعار النفط تصعد إلى مستوى جديد لأول مرة منذ أبريل ,1
غانتس يهدد بمنع إعمار غزة   والفصائل تطالب الوسطاء بالتدخل,1
 أحلام  تعلق على صور منسوبة لابنة الملك سلمان الوحيدة  شاهد),0
مكتبة الروائي أمبرتو إيكو الضخمة تستقر في جامعة بولونيا,1
مدرسة تعليم سينما لـ المحرومين    كلوني على رأسها,1
  آبي أحمد حامل نوبل للسلام يدفع بلاده نحو الحرب,1
 الحوثي  تعلن إسقاط طائرة تجسس أمريكية   الثانية في يومين,1
اعتقالات واسعة بالضفة   وإطلاق نار على الاحتلال بجنين,1
هكذا يؤثر  هوس  كرة القدم على الرجال   نساء تشتكي وخبير يجيب,0
إيران تجهز ملايين براميل النفط لبيعها فور رفع العقوبات,1
 متحور دلتا  في  دولة   و إسرائيل  تفكر بإعادة الكمامات,1
الولايات المتحدة تدرس تفاصيل الدعم لتركيا في أفغانستان,1
الكونغرس قد يستجوب كامل بشأن دور مصر بمقتل خاشقجي,1
الشورى السعودي يناقش توصية بعدم إغلاق المحال وقت الصلاة,1
بلاغ للنائب العام ضد حسان لوضعه على قوائم الإرهاب,1
جرح  جنود فرنسيين بانفجار سيارة مفخخة في مالي,1
السعودية تلغي الرقابة المسبقة على الكتب الواردة من الخارج,1
واشنطن  السفير الأمريكي سيعود إلى موسكو  هذا الأسبوع ,1
برشلونة مطالب بإغضاب جميع لاعبيه لتجديد عقد ميسي,1
كاتب إسرائيلي  مساهمتنا بحفظ أمن أمريكا أضعاف مساعداتها لنا,1
السيسي يؤكد تضامنه مع اليونان ضد ما يهدد سيادتها,1
تقدير إسرائيلي  التحالف والمعارضة يستعدان لحرب استنزاف,1
فلسطيني يقيم أول فندق للحيوانات الأليفة بالضفة الغربية,1
واشنطن تحدد الدول المستفيدة من هبة  مليون جرعة لقاح كورونا,1
دعوة أممية للبابا للتحرك ضد العنف الجنسي بمؤسسات كاثوليكية,1
مصر تقول إنها لا تملك وثائق على بيع إثيوبيا مياها لإسرائيل,1
كيف ستكون السياسة الخارجية لطهران في عهد رئيسي؟,0
موقع أمريكي  ترامب يعد مؤلفين لكتب عنه بخبطات,1
الرياض تطالب بآليات تفتيش سريع وشامل لمواقع إيران النووية,1
قطر تتسلم أوراق اعتماد أول سفير للسعودية بعد المصالحة  شاهد),0
مصرع شخصين بحادث قطار جنوبي القاهرة,1
تسريب صادم   هكذا تتلف أمازون ملايين الأجهزة سنويا  فيديو),1
عباس يدعو فتح وحماس للعودة  فورا  لحوار جاد لإنهاء الانقسام,1
أغنية عن صمود قرية  بيتا  الفلسطينية    جبل النار   شاهد),0
وفد أمني إسرائيلي يزور القاهرة لبحث قضية الأسرى,1
توافق على عودة الحكومة اليمنية إلى مدينة عدن,1
 رايتس ووتش   لماذا استبعاد إسرائيل من  قائمة العار ؟,0
إصابات جراء اعتداءات الاحتلال والمستوطنين بالشيخ جراح  شاهد),0
هل يطرح النظام الصوفية بديلا للسلفية في مصر؟,0
الغنوشي  لن نعود إلى دستور ما قبل الثورة التونسية,1
كتاب  ترامب فكر بإرسال المصابين بكورونا إلى غوانتانامو,1
ماني يتبرع بمبلغ كبير لبناء مشفى بمسقط رأسه,1
ألمانيا تحظر رفع علم  حماس  والمواد الدعائية,1
الغارديان  أموال من حول العالم لبناء مكتبة دمرتها إسرائيل بغزة,1
لجنة     تنسق لفتح طريق الساحل وتخوف من عرقلة حفتر,1
مذيعة كتالونية تدين التبييض الرياضي الإسرائيلي على الهواء,1
فلسطينيون يتصدون لمسيرات المستوطنين بالضفة  شاهد),0
أحمدي نجاد  منعت شقيق زوجة خامنئي من السفر لإسرائيل,1
صعود البطالة في الأردن إلى  بالمئة في ,1
قضاء العسكر,0
أسرى لدى الاحتلال يواصلون  الإضراب  وتحذير من مصيرهم,1
سجن  شخصا بتهم  التلاعب والتزوير  بانتخابات الجزائر,1
لماذا هاجم نجم ألماني سابق رونالدو ووصفه بـ الأحمق ؟,0
ندوة سياسية حقوقية تناقش الإعدامات الجماعية بمصر,1
جدعون ليفي يهاجم قوانين الفصل العنصري الإسرائيلية,1
الرئيس الموريتاني يستقبل وفدا من حماس برئاسة هنية,1
 تحديات استراتيجية تواجه الاحتلال   بينها فلسطينيو الداخل,1
هل قتل الدعاة سنة ماضية أم معضلة تستوجب المراجعة؟,0
رسميا   فرنسا تحرم من خدمات ديمبيلي في باقي منافسات اليورو,1
محمد سلطان  آمل أن يضغط بايدن في عيد الأب لحرية والدي بمصر,1
آمال ماهر توضح سبب ابتعادها عن الفن وتترك الباب مفتوحا,1
خبراء  انفتاح النظام العربي على  حماس  له ما بعده,1
 رئيسي  يتحدث عن العلاقة مع السعودية وفتح السفارات,1
ألمانيا تعيّن حاخاما بالجيش الألماني لأول مرة منذ  عاما,1
خشية إسرائيلية من تفاقم الأزمة السياسية والأمنية الداخلية,1
دراسة جديدة  هذه أسباب خوف الإنسان من الظلام,0
  كيف أعاد كورونا التذكير بتسرب  الجمرة الخبيثة ؟,0
طهران تتحدث عن اقتراب كبير لحلحلة قضايا عالقة بـ النووي ,1
نتنياهو يقتني هاتفا ذكيا لأول مرة منذ سنوات   ماذا قال سابقا؟,0
 أبل  تستعد لإطلاق ساعات متطورة بخدمات صحية مميزة,1
السعودية تؤجل جلسة الحكم على معتقلين أردنيين وفلسطينيين,1
الصهيونية إذ تفشل في الإقناع بلبوسها الديني   قراءة في كتاب,1
التايمز  بعد فوز رئيسي   تلويح إسرائيلي بضرب منشآت نووية,1
السنوار  لقاؤنا مع الوفد الأممي سيئ   والاحتلال يحاول ابتزازنا,1
عقد أولى جلسات قضية  الفتنة  بالأردن  شاهد),0
أقدم صورة للقدس عمرها  عاما بكاميرا الفرنسي فيسكه,1
ما سيناريوهات الوضع بغزة مع إغلاق المعابر واشتداد الحصار؟,0
لطائف قياس القامة عند العرب,1
